recording_id,speed_mph,condition,model,n_windows,mean_error_mph,mean_absolute_error_mph,median_absolute_error_mph,rmse_mph,max_absolute_error_mph
s1_day4_20260619_5mph_120spm_decreased,5.0,cadence_decreased,Lasso Regression,9,-0.786780328924502,0.786780328924502,0.7646810920216325,0.8207758532419741,1.347635214516675
s1_day4_20260619_6mph_135spm_decreased,6.0,cadence_decreased,Lasso Regression,11,-0.7306260069029772,0.7306260069029772,0.7459819542243116,0.7526690503251949,0.980957431211599
s1_day4_20260619_6mph_135spm_decreased,6.0,cadence_decreased,Random Forest,11,-0.7155944741532978,0.7155944741532978,0.6601136363636364,0.728784446240369,0.8926136363636363
s1_day4_20260619_5mph_120spm_decreased,5.0,cadence_decreased,Random Forest,9,-0.586111111111111,0.586111111111111,0.5824999999999996,0.5862119449861495,0.6150000000000002
s1_day4_20260619_7mph_153spm_normal,7.0,cadence_normal,Linear Regression,18,-0.4349656953412871,0.4388332632907118,0.48774378820927833,0.4844046171386859,0.7360051279114996
s1_day4_20260619_6mph_145spm_normal,6.0,cadence_normal,Random Forest,15,-0.37718955902548423,0.3885243532060756,0.3871029411764706,0.3998582670996972,0.5096029411764711
s1_day4_20260619_5mph_140spm_normal,5.0,cadence_normal,Ridge Regression,14,0.2999768736590376,0.31414395232675,0.28392825522639153,0.3822465563880725,0.7814153964360839
s1_day4_20260619_6mph_145spm_normal,6.0,cadence_normal,Linear Regression,15,-0.282239065793296,0.3126681004130833,0.2688002440523815,0.3675143107574936,0.7237941129849874
s1_day4_20260619_6mph_145spm_normal,6.0,cadence_normal,Ridge Regression,15,-0.2819948913643048,0.2825809170611659,0.2500938106041426,0.32713686689815696,0.7160824286633956
s1_day4_20260619_7mph_153spm_normal,7.0,cadence_normal,Ridge Regression,18,-0.13791258704122583,0.24146677040469916,0.23015292020144423,0.3043382340765664,0.6346651149706704
s1_day4_20260619_5mph_140spm_normal,5.0,cadence_normal,Linear Regression,14,0.21464926963263306,0.22501558604695898,0.20558952382893292,0.2742428002123423,0.6626784368359884
s1_day4_20260619_7mph_153spm_normal,7.0,cadence_normal,Lasso Regression,18,-0.16137978179614207,0.2155734553452416,0.1527400784166515,0.27701186807113704,0.5607804691058336
s1_day4_20260619_5mph_140spm_normal,5.0,cadence_normal,Random Forest,14,0.1501519926152279,0.1501519926152279,0.15835004456328017,0.1663258293538204,0.2576470588235295
s1_day4_20260619_7mph_182spm_elevated,7.0,cadence_elevated,Random Forest,18,0.10867388173610551,0.10867388173610551,0.0867567937392652,0.12971731161226047,0.215506793739264
s1_day4_20260619_7mph_153spm_normal,7.0,cadence_normal,Random Forest,18,-0.003951497773141998,0.09302141675960614,0.0702176333628528,0.16971361083959366,0.6623913043478264
s1_day4_20260619_6mph_145spm_normal,6.0,cadence_normal,Lasso Regression,15,-0.015863156707985885,0.09277371702445432,0.0617087558291968,0.11475872458345539,0.2555196282014345
s1_day4_20260619_5mph_160spm_elevated,5.0,cadence_elevated,Random Forest,16,-0.014681943422868975,0.05844442321837201,0.05993421052631605,0.07099679470960762,0.1508562166285276
