evaluation,fold,held_out_speed_mph,feature_set,model,feature,is_v3_feature,baseline_mae,n_train_windows,n_test_windows,mae_increase_mean,mae_increase_std
loso,overall,all,v3_full,Random Forest,GyroY_PeakToPeak,False,0.6215899006357812,,135,-6.487764711572737e-05,0.00023400343161647394
loso,overall,all,v3_full,Random Forest,PeakToPeak_Z,False,0.6215899006357812,,135,-0.00013619228462039787,0.0001820172284878393
loso,overall,all,v3_full,Random Forest,Gyro_Mag_RMS,False,0.6215899006357812,,135,-0.0006885852930699476,0.0014181371621078507
loso,overall,all,v3_full,Random Forest,Impact_Peak_Count,True,0.6215899006357812,,135,-0.0007925925925926357,0.00034162912336687946
loso,overall,all,v3_full,Random Forest,Gyro_RMS_Y,False,0.6215899006357812,,135,-0.0010882336754278112,0.0023523828290632075
loso,overall,all,v3_full,Random Forest,Gyro_RMS_X,False,0.6215899006357812,,135,-0.0012596112055716223,0.0005541607104655595
loso,overall,all,v3_full,Random Forest,Cadence_spm,False,0.6215899006357812,,135,-0.002833056658975177,0.000881063870499181
loso,overall,all,v3_full,Random Forest,Accel_Mag_Jerk_RMS,False,0.6215899006357812,,135,-0.004298612393762898,0.0031939034741408205
loso,overall,all,v3_full,Random Forest,RMS_Z,False,0.6215899006357812,,135,-0.005768315027342375,0.002524143981126437
loso,overall,all,v3_full,Random Forest,Mean_Impact_Prominence,True,0.6215899006357812,,135,-0.006069565342803248,0.00206517077495811
loso,overall,all,v3_full,Random Forest,Accel_Mag_P95_P05,False,0.6215899006357812,,135,-0.012753219598641995,0.009224463685021814
loso,overall,all,v3_full,Random Forest,Accel_Mag_RMS,False,0.6215899006357812,,135,-0.015551998191561231,0.0038849252193103095
loso,overall,all,v3_full,Random Forest,Dynamic_Accel_Mag_RMS,False,0.6215899006357812,,135,-0.01874166037618782,0.009611948270670459
loso,overall,all,v3_full,Random Forest,Mean_Impact_Interval_s,True,0.6215899006357812,,135,-0.028364861079990793,0.024359562177494534
loso,overall,all,v3_full,Random Forest,Vertical_Peak_Sharpness,True,0.6215899006357812,,135,-0.0341512741157343,0.02763209736572028
