evaluation,fold,held_out_speed_mph,feature_set,feature,is_new_v4_feature,is_sharpness_feature,baseline_mae,mae_increase_mean,mae_increase_std
loso,fold_3,5.0,v4_morphology_all,Gyro_RMS_Y,False,False,0.503906985430685,-0.010410158076289273,0.0024638916198429597
loso,fold_3,5.0,v4_morphology_all,Accel_Mag_Jerk_RMS,False,False,0.503906985430685,-0.012492944805176284,0.0056234041127132175
loso,fold_3,5.0,v4_morphology_all,Accel_Mag_P95_P05,False,False,0.503906985430685,-0.0195184057171305,0.007456843720983018
loso,fold_3,5.0,v4_morphology_all,RMS_Z,False,False,0.503906985430685,-0.026822647978868453,0.008543836521464303
loso,fold_3,5.0,v4_morphology_all,Vertical_Peak_Sharpness,False,True,0.503906985430685,-0.040925932562403546,0.033644146232899866
loso,fold_3,5.0,v4_morphology_all,Accel_Mag_RMS,False,False,0.503906985430685,-0.04357421078445628,0.009371531420232388
loso,overall,all,v4_morphology_all,Impact_Impulse,True,False,0.5972505353871614,0.0022699721384123856,0.025206612062376486
loso,overall,all,v4_morphology_all,Gyro_Mag_RMS,False,False,0.5972505353871614,0.0012208563236792982,0.0003023179514947145
loso,overall,all,v4_morphology_all,Gyro_RMS_X,False,False,0.5972505353871614,0.0010476856275689985,0.003113597446402656
loso,overall,all,v4_morphology_all,Impact_Crest_Factor,True,False,0.5972505353871614,0.0006663924556727634,0.0008674374827936306
loso,overall,all,v4_morphology_all,Impact_Local_Kurtosis,True,False,0.5972505353871614,0.0004190218275178348,0.0023995405035207116
loso,overall,all,v4_morphology_all,Peak_Symmetry,True,False,0.5972505353871614,0.0003482164819431051,0.0015060137805817581
loso,overall,all,v4_morphology_all,PeakToPeak_Z,False,False,0.5972505353871614,-1.976385413338852e-05,0.0008208968385770655
loso,overall,all,v4_morphology_all,Gyro_RMS_Z,False,False,0.5972505353871614,-0.0002570587336024351,0.0014902207974792708
loso,overall,all,v4_morphology_all,GyroY_PeakToPeak,False,False,0.5972505353871614,-0.0004950748741275065,0.00023453894777005337
loso,overall,all,v4_morphology_all,Accel_Anisotropy,False,False,0.5972505353871614,-0.0005928911336159894,0.005416113879353611
loso,overall,all,v4_morphology_all,Accel_HighFreq_Energy_Ratio,False,False,0.5972505353871614,-0.001702385086180679,0.0026183627585312343
loso,overall,all,v4_morphology_all,Gyro_RMS_Y,False,False,0.5972505353871614,-0.003466868822506799,0.004910212695711501
loso,overall,all,v4_morphology_all,Accel_Mag_Jerk_RMS,False,False,0.5972505353871614,-0.004455565756807421,0.005835860044400335
loso,overall,all,v4_morphology_all,RMS_Z,False,False,0.5972505353871614,-0.011496863881985423,0.010853981114668626
loso,overall,all,v4_morphology_all,Dynamic_Accel_Mag_RMS,False,False,0.5972505353871614,-0.013616936632669335,0.01561149248385774
loso,overall,all,v4_morphology_all,Cadence_spm,False,False,0.5972505353871614,-0.01726127126521158,0.025570096881882307
loso,overall,all,v4_morphology_all,Accel_Mag_P95_P05,False,False,0.5972505353871614,-0.020694410138584956,0.012425015043163005
loso,overall,all,v4_morphology_all,Accel_Mag_RMS,False,False,0.5972505353871614,-0.021440861328744665,0.016910376286134933
loso,overall,all,v4_morphology_all,Vertical_Peak_Sharpness,False,True,0.5972505353871614,-0.02213923860782283,0.024271819570234377
standard,overall,all,v4_morphology_all,Vertical_Peak_Sharpness,False,True,0.1634656501460112,0.6264858992906317,0.057458231262047306
standard,overall,all,v4_morphology_all,Cadence_spm,False,False,0.1634656501460112,0.2846344109224529,0.027964053146967184
standard,overall,all,v4_morphology_all,Accel_Mag_RMS,False,False,0.1634656501460112,0.2073782451834874,0.023685573782661066
standard,overall,all,v4_morphology_all,Dynamic_Accel_Mag_RMS,False,False,0.1634656501460112,0.18206543237786688,0.01743011414309848
standard,overall,all,v4_morphology_all,Accel_Mag_P95_P05,False,False,0.1634656501460112,0.09791311217968965,0.007482350913902548
standard,overall,all,v4_morphology_all,RMS_Z,False,False,0.1634656501460112,0.07988149398685712,0.006260197453339981
standard,overall,all,v4_morphology_all,Accel_Mag_Jerk_RMS,False,False,0.1634656501460112,0.05221956079785943,0.006606392015431993
standard,overall,all,v4_morphology_all,Accel_HighFreq_Energy_Ratio,False,False,0.1634656501460112,0.049966048487927725,0.007969719963436397
standard,overall,all,v4_morphology_all,Impact_Impulse,True,False,0.1634656501460112,0.047496059822107514,0.005098614417111805
standard,overall,all,v4_morphology_all,PeakToPeak_Z,False,False,0.1634656501460112,0.025059280938252472,0.002111468474849353
standard,overall,all,v4_morphology_all,Gyro_Mag_RMS,False,False,0.1634656501460112,0.019381547924097277,0.0021242495110136523
standard,overall,all,v4_morphology_all,Accel_Anisotropy,False,False,0.1634656501460112,0.003483609666682512,0.0014976668064795792
standard,overall,all,v4_morphology_all,Gyro_RMS_X,False,False,0.1634656501460112,0.0029423553015346174,0.0008616512096094073
standard,overall,all,v4_morphology_all,Gyro_RMS_Z,False,False,0.1634656501460112,0.0022090153405713853,0.0019392164706367662
standard,overall,all,v4_morphology_all,Impact_Local_Kurtosis,True,False,0.1634656501460112,0.0016344961066328018,0.0015574116913869577
standard,overall,all,v4_morphology_all,Peak_Symmetry,True,False,0.1634656501460112,0.0010578407460988108,0.00042475280746077633
standard,overall,all,v4_morphology_all,Impact_Crest_Factor,True,False,0.1634656501460112,0.0002925454324764168,0.00039887672349618765
standard,overall,all,v4_morphology_all,Gyro_RMS_Y,False,False,0.1634656501460112,-0.0014239806718564674,0.0007772617142425718
standard,overall,all,v4_morphology_all,GyroY_PeakToPeak,False,False,0.1634656501460112,-0.001722454531537619,0.000638685181860082
